uuid	name	publisher_uuid	file_link	first_seen	pub_date	file_harvest_date
NULL	AMNH-BEE DwC-Archive	076c0ff6-65e9-48a5-8e4b-2447936f9a1c	http://scan-bugs.org/portal/content/dwca/AMNH-BEE_DwC-A.zip	2017-12-22 14:37:10.665597	2017-12-22 11:51:57	NULL
NULL	MCZ DwC-Archive	076c0ff6-65e9-48a5-8e4b-2447936f9a1c	http://scan-bugs.org/portal/content/dwca/MCZ_DwC-A.zip	2017-12-22 14:37:10.665597	2018-02-14 12:58:19	NULL
NULL	WIS-IH-WIRC DwC-Archive	076c0ff6-65e9-48a5-8e4b-2447936f9a1c	http://scan-bugs.org/portal/content/dwca/WIS-IH-WIRC_DwC-A.zip	2017-12-22 14:37:10.665597	2018-08-17 10:04:53	NULL
NULL	OSU-OSU DwC-Archive	076c0ff6-65e9-48a5-8e4b-2447936f9a1c	http://scan-bugs.org/portal/content/dwca/OSU-OSU_DwC-A.zip	2017-12-22 14:37:10.665597	2017-12-22 11:51:57	NULL
NULL	fieldguide-LepSnap DwC-Archive	076c0ff6-65e9-48a5-8e4b-2447936f9a1c	http://scan-bugs.org/portal/content/dwca/fieldguide-LepSnap_DwC-A.zip	2017-12-22 14:37:10.665597	2017-12-22 11:51:57	NULL
NULL	Paleobotany Specimens - Version 2.5	e372a31d-2760-42b1-9b76-39f1a6a04206	http://65.52.215.125/ipt/archive.do?r=paleobotany	2017-12-28 18:32:35.998257	2018-09-28 00:20:03	NULL
NULL	Tillegg Røtinga i Os - Version 1.1	fe1636ab-bdc4-4b23-a104-294e9e7c3bfa	https://data.gbif.no/ipt/archive.do?r=asplan-roetinga	2018-01-08 03:22:30.030776	2018-07-09 07:43:09	NULL
NULL	Konsekvensutredning naturmangfold E6 Åsen - Mære - Version 1.1	fe1636ab-bdc4-4b23-a104-294e9e7c3bfa	https://data.gbif.no/ipt/archive.do?r=asplan-aasen	2018-01-08 03:22:30.030776	2018-07-09 07:43:07	NULL
NULL	TEST for oVert - Version 1.11	ab5bdf3a-6283-41c7-ac16-9ba46381aa24	http://ipt.idigbio.org/archive.do?r=test	2018-01-17 10:02:27.984326	2018-02-23 21:39:08	NULL
NULL	Rancho Santa Ana Botanic Garden - Version 1.1	ab5bdf3a-6283-41c7-ac16-9ba46381aa24	http://ipt.idigbio.org/archive.do?r=rsa-herb	2018-01-24 15:02:20.287345	2018-01-24 20:08:16	NULL
NULL	Balsfjord Nature Reserves - Version 1.2	fe1636ab-bdc4-4b23-a104-294e9e7c3bfa	https://data.gbif.no/ipt/archive.do?r=balsfjord_nature_reserves	2018-01-25 09:07:03.193152	2018-07-09 07:35:05	NULL
